,OBSID,AIA_N_GUESS,IRIS_N_GUESS,BLUR_GUESS,OPTIMIZED INPUTS,RESULT
51,20220626_040436_3620108077,0.19,0.15000000000000002,25,[ 0.20055556  0.14583333 24.16666667],1167.5494770533048
52,20220626_040436_3620108077,0.19,0.20000000000000004,20,[ 0.20144496  0.1957716  20.16152263],761.3941010239749
53,20220626_040436_3620108077,0.19,0.20000000000000004,25,[ 0.19847977  0.20686075 24.69263064],762.2631283929677
54,20220626_040436_3620108077,0.19,0.25000000000000006,20,[ 0.20053601  0.23263889 19.94444444],762.1234903827371
55,20220626_040436_3620108077,0.19,0.25000000000000006,25,[ 0.19    0.2625 25.    ],1028.2590527883656
56,20220626_040436_3620108077,0.19,0.30000000000000004,20,[ 0.20862209  0.30117284 19.98491084],800.3897181927289
57,20220626_040436_3620108077,0.19,0.30000000000000004,25,[ 0.19678781  0.30194444 25.1871142 ],829.4781415572029
58,20220626_040436_3620108077,0.19,0.3500000000000001,20,[ 0.19996914  0.33925154 19.92283951],777.1642265065793
59,20220626_040436_3620108077,0.19,0.3500000000000001,25,[ 0.19991786  0.34630288 24.30325477],787.0411418588471
60,20220626_040436_3620108077,0.19,0.40000000000000013,20,[ 0.19809259  0.40148148 19.22222222],793.0280265444419
61,20220626_040436_3620108077,0.19,0.40000000000000013,25,[ 0.21664457  0.28142839 25.35155655],821.6414600750752
62,20220626_040436_3620108077,0.19,0.45000000000000007,20,[ 0.19020525  0.46965278 19.67592593],1059.1093967581492
63,20220626_040436_3620108077,0.19,0.45000000000000007,25,[ 0.20002778  0.44375    24.58333333],1312.2277940880074
64,20220626_040436_3620108077,0.21,0.1,20,[ 0.21  0.1  20.  ],100000.0
65,20220626_040436_3620108077,0.21,0.1,25,[ 0.21  0.1  25.  ],100000.0
66,20220626_040436_3620108077,0.21,0.15000000000000002,20,[ 0.21  0.15 20.  ],1258.1117395710892
67,20220626_040436_3620108077,0.21,0.15000000000000002,25,[ 0.19677778  0.15907407 24.72993827],2085.1604546105104
68,20220626_040436_3620108077,0.21,0.20000000000000004,20,[ 0.20943017  0.19985854 21.04603909],765.9396100509825
69,20220626_040436_3620108077,0.21,0.20000000000000004,25,[ 0.21140162  0.20124228 26.06963735],781.3325884096901
70,20220626_040436_3620108077,0.21,0.25000000000000006,20,[ 0.20928811  0.26428669 20.03275749],798.7031837295381
71,20220626_040436_3620108077,0.21,0.25000000000000006,25,[ 0.22115152  0.24811359 25.07788387],793.6676822053572
72,20220626_040436_3620108077,0.21,0.30000000000000004,20,[ 0.2239718   0.30436124 18.85741786],781.2608004716968
73,20220626_040436_3620108077,0.21,0.30000000000000004,25,[ 0.21860772  0.28916517 25.25998204],801.409283735747
74,20220626_040436_3620108077,0.21,0.3500000000000001,20,[ 0.21    0.3675 20.    ],790.5422897700262
75,20220626_040436_3620108077,0.21,0.3500000000000001,25,[ 0.22951804  0.33616946 25.85752636],782.6235774804511
76,20220626_040436_3620108077,0.21,0.40000000000000013,20,[ 0.21131453  0.39841435 21.04880401],790.5422897700262
77,20220626_040436_3620108077,0.21,0.40000000000000013,25,[ 0.22333516  0.41254499 24.14022362],1189.0789660852738
78,20220626_040436_3620108077,0.21,0.45000000000000007,20,[ 0.21588134  0.44536523 20.61156836],902.0828542127877
79,20220626_040436_3620108077,0.21,0.45000000000000007,25,[ 0.23147798  0.41656427 25.31262205],1070.3154724195567
80,20220626_040436_3620108077,0.22999999999999998,0.1,20,[ 0.23  0.1  20.  ],100000.0
81,20220626_040436_3620108077,0.22999999999999998,0.1,25,[ 0.23  0.1  25.  ],100000.0
82,20220626_040436_3620108077,0.22999999999999998,0.15000000000000002,20,[ 0.24000926  0.14611111 20.27777778],821.4887644027343
83,20220626_040436_3620108077,0.22999999999999998,0.15000000000000002,25,[ 0.23    0.1575 25.    ],2866.463548160304
84,20220626_040436_3620108077,0.22999999999999998,0.20000000000000004,20,[ 0.23907853  0.19980796 19.92078189],831.3709534625051
85,20220626_040436_3620108077,0.22999999999999998,0.20000000000000004,25,[ 0.23766667  0.20666667 23.75      ],777.736952216799
86,20220626_040436_3620108077,0.22999999999999998,0.25000000000000006,20,[ 0.2288642   0.26941872 19.97325103],798.7779888834875
