,OBSID,AIA_N_GUESS,IRIS_N_GUESS,BLUR_GUESS,OPTIMIZED_AIA,OPTIMIZED_IRIS,OPTIMIZED_BLUR,RESULT
130,20220721_053919_3620108077,0.22999999999999998,0.15000000000000002,20,0.28255148177784467,0.4435028196794478,20.20829069954018,933.0651928029761
131,20220721_053919_3620108077,0.22999999999999998,0.15000000000000002,25,0.3,0.36155789612099554,23.724423715402526,957.8156839390288
132,20220721_053919_3620108077,0.22999999999999998,0.20000000000000004,20,0.3,0.2941031087754296,20.59034165644234,965.0255434922518
133,20220721_053919_3620108077,0.22999999999999998,0.20000000000000004,25,0.3,0.30802912911142205,24.753989813109136,989.3064581874182
134,20220721_053919_3620108077,0.22999999999999998,0.25000000000000006,20,0.3,0.2978246688659318,20.33115673655759,962.5735573974608
135,20220721_053919_3620108077,0.22999999999999998,0.25000000000000006,25,0.2875574353696907,0.2920160097754981,25.695460790868005,949.5577451651321
136,20220721_053919_3620108077,0.22999999999999998,0.30000000000000004,20,0.3,0.36459864430405786,20.260814429883144,958.8941142339145
137,20220721_053919_3620108077,0.22999999999999998,0.30000000000000004,25,0.3,0.29518708811531535,25.092801426053295,1016.3007354769127
138,20220721_053919_3620108077,0.22999999999999998,0.3500000000000001,20,0.3,0.4842786271777736,20.12794753120886,903.1997054297948
139,20220721_053919_3620108077,0.22999999999999998,0.3500000000000001,25,0.3,0.29988058912039245,26.56467058392308,971.7974014247455
140,20220721_053919_3620108077,0.22999999999999998,0.40000000000000013,20,0.29184976368452015,0.4757209334441273,20.09770450671309,903.1997054297948
141,20220721_053919_3620108077,0.22999999999999998,0.40000000000000013,25,0.22310087606529988,0.2654407556225229,24.888622430078215,950.6620948214165
142,20220721_053919_3620108077,0.22999999999999998,0.45000000000000007,20,0.3,0.4823488428798333,20.451184425658788,903.1997054297948
143,20220721_053919_3620108077,0.22999999999999998,0.45000000000000007,25,0.27582355312526796,0.3090961601482425,25.067941081429574,951.884457391142
144,20220722_222826_3620108076,0.19,0.1,20,0.19,0.1,20.0,100000.0
145,20220722_222826_3620108076,0.19,0.1,25,0.19,0.1,25.0,100000.0
146,20220722_222826_3620108076,0.19,0.15000000000000002,20,0.19,0.15000000000000002,20.0,100000.0
147,20220722_222826_3620108076,0.19,0.15000000000000002,25,0.19,0.15000000000000002,25.0,100000.0
