,OBSID,AIA_N_GUESS,IRIS_N_GUESS,BLUR_GUESS,OPTIMIZED_AIA,OPTIMIZED_IRIS,OPTIMIZED_BLUR,RESULT,RUNTIME
37,20221018_231020_3620112077,0.214907,0.281563,22.554918,0.23281591666666662,0.26748485,24.4344945,68768.85318879073,36.27221894264221
38,20221008_020430_3620108076,0.214907,0.281563,22.554918,0.214907,0.281563,22.554918,100000.0,22.849210023880005
39,20221008_010555_3620108076,0.214907,0.281563,22.554918,0.214907,0.281563,22.554918,100000.0,23.32658100128174
40,20221008_000720_3620108076,0.214907,0.281563,22.554918,0.214907,0.281563,22.554918,100000.0,22.747637033462524
41,20220924_012036_3620108076,0.214907,0.281563,22.554918,0.214907,0.281563,22.554918,100000.0,22.384732961654663
42,20220924_002201_3620108076,0.214907,0.281563,22.554918,0.214907,0.281563,22.554918,100000.0,21.784107208251953
43,20221029_020441_3600607176,0.214907,0.281563,22.554918,0.214907,0.281563,22.554918,100000.0,16.039721965789795
44,20221026_170654_3600609177,0.214907,0.281563,22.554918,0.2053555777777777,0.2862557166666667,23.432053700000004,928.0617168322003,33.50151991844177
45,20221026_071530_3600609177,0.214907,0.281563,22.554918,0.214907,0.281563,23.6826639,1618.8176569393827,31.503878355026245
46,20221026_002630_3600609177,0.214907,0.281563,22.554918,0.214907,0.281563,22.554918,100000.0,24.31923007965088
47,20221025_041441_3620507177,0.214907,0.281563,22.554918,0.214907,0.281563,22.554918,100000.0,16.843101978302002
48,20220923_232326_3620108076,0.214907,0.281563,22.554918,0.214907,0.281563,22.554918,100000.0,21.959545850753784
49,20220910_014826_3620108076,0.214907,0.281563,22.554918,0.214907,0.281563,22.554918,100000.0,22.912029266357422
50,20220910_004926_3620108076,0.214907,0.281563,22.554918,0.214907,0.281563,22.554918,100000.0,22.019012689590454
51,20221025_023611_3620607175,0.214907,0.281563,22.554918,0.214907,0.281563,22.554918,100000.0,15.581626892089844
52,20221018_134113_3600606077,0.214907,0.281563,22.554918,0.214907,0.281563,22.554918,100000.0,23.319137811660767
53,20221025_195518_3600609177,0.214907,0.281563,22.554918,0.21625016874999997,0.28918866458333337,22.601907412500005,1779.9143816163275,34.548035860061646
54,20221015_021636_3620108076,0.214907,0.281563,22.554918,0.214907,0.281563,22.554918,100000.0,22.83995270729065
55,20221015_011801_3620108076,0.214907,0.281563,22.554918,0.214907,0.281563,22.554918,100000.0,24.200793027877808
56,20221015_001926_3620108076,0.214907,0.281563,22.554918,0.214907,0.281563,22.554918,100000.0,21.79154086112976
57,20221007_135202_3620108077,0.214907,0.281563,22.554918,0.214907,0.281563,22.554918,1053.4314847991634,30.630164861679077
58,20221029_065819_3600609177,0.214907,0.281563,22.554918,0.22565235,0.281563,22.554918,1756.5839351141528,22.213770151138306
59,20221029_041915_3600607176,0.214907,0.281563,22.554918,0.214907,0.281563,22.554918,100000.0,15.738774061203003
60,20220917_001728_3620108076,0.214907,0.281563,22.554918,0.214907,0.281563,22.554918,100000.0,23.010913133621216
61,20220916_224528_3620108076,0.214907,0.281563,22.554918,0.214907,0.281563,22.554918,100000.0,23.297101736068726
